cluster,sys,per,ad,co,ba,no,pv,in,ve,cc,cp,cm,prediction
0,2.0806528433063183,3.049997652293894,0.0,8.935921261847314,7.940077191518421,7.47307510832025,3.7730585154100735,7.62788397274254,8.507079137712141,8.27955177995789,7.92178544462628,7.987407085881103,0
1,0.8336339170841522,1.2034947845463955,0.0,0.17940350769425617,0.04769621734606644,0.19619923930963123,8.407572477036371,6.237426392192606,0.7143584738881694,1.9656301730967445,0.25897162981004795,1.5743867897297843,1
2,0.3516918145808836,0.7499875158648669,0.0,5.884021625301198,0.8260594326656315,5.016583501403257,0.10049651347621591,0.15043131446024116,0.6534802785675708,0.17524484364053539,0.4784718014935001,0.20218736851614327,2
3,0.8139552439518238,1.062634413467952,0.0,1.678903481696651,0.33371623804582073,2.1663674709327774,0.24626792250194995,1.34003653063567,8.186362914461725,6.265438184508471,0.31380586116591624,0.08852137715629649,3
4,1.7268153862475182,2.4429045867551085,0.0,0.689801241236192,0.6181903038504859,0.8711071921231879,4.829193498732133,8.160018800158838,7.463754508693004,7.7172467101356315,6.277096613713137,8.504629647235618,4
