id,year,sys,fis,per,ad,co,ba,no,pv,in,ve,cc,cp,cm,value,cluster
71,2022,30,7,106,4500,0,0,0,88640,40600,71900,31070,13520,10860,261090,4
72,2021,54,16,81,0,0,0,8120,92020,51750,24500,11670,4520,64110,256690,4
73,2022,20,4,109,9000,13440,7900,8120,48480,44000,49000,13520,9000,35360,237820,0
74,2022,12,2,215,0,0,0,0,65600,44000,49000,44000,18000,35360,255960,4
75,2021,24,5,95,0,7900,7900,8120,106180,44560,12900,9040,4520,41070,242190,0
76,2022,36,29,72,0,26880,26880,27740,160360,0,6450,4520,0,0,252830,0
77,2021,40,22,94,0,0,0,0,167140,66130,3550,4520,4520,6450,252310,4
78,2022,24,6,88,0,13440,13440,8120,106060,31600,6450,4520,9000,56750,249380,0
79,2022,25,6,143,0,26900,26900,13870,58780,37920,10860,13520,9000,38700,236450,0
80,2022,15,3,93,0,26900,26900,27750,41840,27700,10860,22000,22000,24500,230450,0
81,2020,32,9,89,18000,6130,6130,6340,114500,36810,0,13070,4520,32160,237660,0
82,2020,53,23,75,0,7900,13440,0,114640,75040,12900,9040,4520,0,237480,0
83,2022,37,10,93,45000,13440,7900,8120,79000,44670,24500,9000,4520,6450,242600,0
84,2022,22,3,99,0,23700,0,0,98400,22520,23760,18000,13560,28170,228110,4
85,2022,33,8,81,0,0,7900,0,104400,28950,28050,9000,15920,44410,238630,4
86,2021,14,2,145,0,9750,34800,0,16340,31000,35360,31000,31000,49000,238250,0
87,2022,10,1,110,18000,26900,13440,0,32800,22000,24500,22000,22000,24500,206140,0
88,2022,16,2,119,0,34800,34800,21990,0,26520,35360,26520,26520,30950,237460,0
89,2020,31,6,86,0,0,7900,0,67080,27080,49030,27080,4520,36660,219350,4
90,2022,23,9,95,18000,13440,26900,13870,42920,13520,30950,26520,13520,17310,216950,0
91,2022,31,9,112,18000,0,0,0,0,48410,65970,51260,4520,6450,194610,4
92,2022,16,3,106,0,21340,13440,8120,65480,9000,46220,31000,13520,24500,232620,0
93,2022,16,7,87,0,9750,7900,8120,106060,22000,43280,5970,4520,24500,232100,0
94,2022,28,7,83,0,13440,9750,0,118600,21620,34620,18770,5970,7920,230690,0
95,2022,27,6,75,0,21340,17650,8120,98160,15920,10860,17370,0,40170,229590,0
96,2022,14,3,135,0,13440,13440,8120,98400,33850,24500,9000,9000,10860,220610,0
97,2022,36,9,74,0,7900,7900,8120,76160,41820,6450,7370,4520,56660,216900,0
98,2022,20,3,127,6300,7900,7900,8120,65480,27700,24500,29370,4520,34500,216290,0
99,2022,30,6,72,0,7900,7900,8120,102680,22110,24410,13070,4520,20000,210710,0
100,2022,19,3,84,0,33030,33030,34090,7900,26520,20860,29370,26520,12900,224220,0
101,2022,18,3,94,0,0,0,0,81940,18040,41810,35520,18040,28170,223520,4
102,2022,14,3,127,0,0,0,0,65480,40000,73500,27000,4520,10860,221360,4
103,2022,18,3,95,0,40340,26880,14460,0,31000,28170,18000,27000,35360,221210,0
104,2022,24,7,77,0,0,0,0,105480,26100,70550,4520,2850,10860,220360,4
105,2022,18,3,92,18000,13440,13440,8120,53660,29370,35360,13520,9000,10860,204770,0
106,2022,21,3,87,0,26900,13440,8120,57040,13560,43280,18040,13560,23760,217700,0
107,2022,42,17,69,0,13440,7900,8120,83600,56270,6450,4520,9000,10860,200160,0
108,2022,16,2,76,0,23190,14030,14460,65600,44000,30950,4520,4520,14410,215680,0
109,2022,13,1,99,4500,26900,13440,27750,7900,22000,24500,22000,22000,24500,195490,0
110,2022,37,13,67,0,13440,13440,6340,97040,38720,13550,11850,4520,7920,206820,0
111,2022,23,3,80,9000,21340,21340,21990,24240,13520,30950,13520,13520,17310,186730,0
112,2022,11,2,131,0,13440,33030,13870,32800,22000,10860,22000,22000,24500,194500,0
113,2022,16,9,68,0,6130,6130,8120,147060,4520,24500,0,4520,10860,211840,0
114,2022,15,3,165,0,26900,26900,13870,45220,29370,3550,9000,22000,34500,211310,0
115,2022,31,12,67,0,7900,0,0,111640,40350,3550,4520,4520,24500,196980,4
116,2022,22,2,81,4500,21340,21340,21990,24240,13520,35360,18000,13520,17310,191120,0
117,2022,30,11,73,0,13440,7900,8120,89700,54200,10860,4520,4520,10860,204120,0
118,2022,20,4,90,0,0,0,0,81820,22560,57080,13520,9040,25800,209820,4
119,2022,16,5,71,0,46470,12260,16240,4520,2850,7100,8550,2850,3550,104390,0
120,2022,24,4,105,15300,6130,0,0,41840,22340,59860,15010,13560,20820,194860,4
121,2020,33,11,66,0,0,0,0,86900,49720,0,0,0,70950,207570,1
122,2022,17,3,149,6300,0,0,0,98400,35520,6450,18040,18040,23760,206510,4
123,2022,31,4,71,0,31600,31600,8120,15800,18080,39030,18080,18080,25800,206190,0
124,2022,28,8,70,0,0,0,0,102020,31640,0,18080,9040,45150,205930,4
125,2022,10,1,116,0,26900,13440,13870,4520,22000,24500,22000,22000,24500,173730,0
126,2022,22,6,73,10800,13440,7900,14460,73380,22560,6450,4520,9000,30210,192720,0
