id,year,sys,fis,per,ad,co,ba,no,pv,in,ve,cc,cp,cm,value,cluster
2654,2022,13,5,18,6300,0,0,0,20320,8550,10650,7370,2850,0,56040,4
2655,2022,9,1,19,4500,7900,7900,6340,0,5970,7920,4520,4520,6450,56020,0
2656,2022,6,1,20,0,7900,0,8120,0,4520,24500,4520,0,6450,56010,0
2657,2020,8,1,19,0,13440,7900,8120,0,4520,6450,4520,4520,6450,55920,0
2658,2022,8,1,19,0,13440,7900,8120,0,4520,6450,4520,4520,6450,55920,0
2659,2022,8,1,19,0,13440,7900,8120,0,4520,6450,4520,4520,6450,55920,0
2660,2022,8,1,19,0,13440,7900,8120,0,4520,6450,4520,4520,6450,55920,0
2661,2021,8,1,19,0,13440,7900,8120,0,4520,6450,4520,4520,6450,55920,0
2662,2022,8,1,19,0,13440,7900,8120,0,4520,6450,4520,4520,6450,55920,0
2663,2021,8,1,19,0,13440,7900,8120,0,4520,6450,4520,4520,6450,55920,0
2664,2021,8,1,19,0,13440,7900,8120,0,4520,6450,4520,4520,6450,55920,0
2665,2021,8,1,19,0,13440,7900,8120,0,4520,6450,4520,4520,6450,55920,0
2666,2022,8,1,19,0,13440,7900,8120,0,4520,6450,4520,4520,6450,55920,0
2667,2022,8,1,19,0,13440,7900,8120,0,4520,6450,4520,4520,6450,55920,0
2668,2022,7,1,20,0,13440,7900,8120,0,0,6450,9000,4520,6450,55880,0
2669,2022,11,2,18,0,0,0,0,21400,8820,7100,2850,5700,10000,55870,4
2670,2022,7,1,20,0,13440,7900,8120,0,0,10860,4520,4520,6450,55810,0
2671,2022,7,1,23,0,0,7900,8120,0,4520,10860,4520,9000,10860,55780,0
2672,2022,7,1,23,0,7900,0,8120,0,9000,10860,4520,4520,10860,55780,0
2673,2022,7,1,23,0,7900,0,8120,0,9000,10860,4520,4520,10860,55780,0
2674,2021,11,1,14,0,6130,6130,6340,4520,2850,6450,2850,2850,3550,41670,0
2675,2022,10,3,17,0,0,0,0,24240,7370,7100,2850,2850,3550,47960,4
2676,2022,7,1,17,0,7900,7900,8120,16340,4520,0,0,4520,6450,55750,0
2677,2022,7,1,17,0,7900,7900,8120,16340,4520,0,0,4520,6450,55750,0
2678,2021,7,1,17,0,7900,7900,8120,16340,4520,6450,4520,0,0,55750,0
2679,2022,7,1,17,0,7900,7900,8120,16340,4520,0,0,4520,6450,55750,0
2680,2022,5,1,20,0,0,0,0,32800,5970,0,4520,4520,7920,55730,4
2681,2022,8,1,20,0,6130,6130,8120,0,9000,10860,4520,4520,6450,55730,0
2682,2021,9,1,17,0,6130,6130,0,10700,4520,6450,4520,4520,6450,49420,0
2683,2022,9,1,18,4500,7900,6130,0,10700,4520,6450,4520,4520,6450,55690,0
2684,2022,9,1,17,0,7900,7900,8120,0,4520,6450,4520,4520,6450,50380,0
2685,2022,7,1,23,0,7900,7900,0,0,9000,10860,9000,4520,6450,55630,0
2686,2022,9,1,17,0,7900,7900,8120,0,4520,6450,4520,4520,6450,50380,0
2687,2021,7,1,23,0,7900,7900,0,0,9000,10860,4520,4520,10860,55560,0
2688,2022,7,1,23,0,7900,7900,0,0,9000,10860,4520,4520,10860,55560,0
2689,2021,7,1,23,0,7900,7900,0,0,9000,10860,4520,4520,10860,55560,0
2690,2022,8,1,19,0,9750,9750,8120,0,4520,7920,4520,4520,6450,55550,0
2691,2022,8,1,19,0,9750,9750,8120,0,4520,7920,4520,4520,6450,55550,0
2692,2020,6,1,24,0,7900,7900,0,0,0,10860,9000,9000,10860,55520,0
2693,2022,4,1,27,0,7900,0,27750,0,0,10860,9000,0,0,55510,3
2694,2021,6,2,16,0,7900,7900,8120,27040,4520,0,0,0,0,55480,1
2695,2022,9,2,20,0,7900,0,8120,0,4520,14410,4520,4520,11470,55460,0
2696,2022,4,3,28,0,13440,6130,35870,0,0,0,0,0,0,55440,2
2697,2022,8,2,18,0,0,0,8120,20860,4520,6450,4520,4520,6450,55440,4
2698,2022,10,2,20,0,0,0,0,12420,7370,17310,7370,4520,6450,55440,4
2699,2022,7,1,23,0,7900,7900,0,0,5970,10860,5970,5970,10860,55430,0
2700,2022,10,5,16,0,0,0,6340,27040,2850,10650,8550,0,0,55430,3
2701,2022,9,3,17,0,0,0,0,28760,10220,6450,0,0,10000,55430,4
2702,2022,7,1,21,0,9750,9750,10050,0,5970,7920,5970,5970,0,55380,0
2703,2022,9,2,19,0,0,0,0,7900,4520,14410,4520,4520,6450,42320,4
2704,2022,6,2,22,0,0,0,6340,0,9000,24500,4520,4520,6450,55330,4
2705,2020,7,1,20,0,0,0,8120,16340,4520,10860,4520,4520,6450,55330,4
2706,2022,7,1,22,0,0,7900,0,10700,5970,10860,5970,5970,7920,55290,4
2707,2022,6,1,23,0,0,0,0,0,9000,24500,4520,4520,6450,48990,4
2708,2022,6,1,22,0,0,0,6340,0,4520,24500,4520,4520,10860,55260,4
2709,2022,5,2,17,0,0,0,0,40700,4520,6450,0,0,3550,55220,1
2710,2022,7,1,20,0,7900,0,0,16340,9000,6450,4520,4520,6450,55180,4
2711,2022,9,1,18,0,13440,6130,8120,4520,2850,10860,2850,2850,3550,55170,0
2712,2022,11,2,15,0,6130,6130,0,20860,5700,3550,2850,2850,7100,55170,0
2713,2022,8,1,19,0,7900,9750,8120,0,4520,6450,4520,5970,7920,55150,0
2714,2022,6,1,21,0,13440,7900,13870,0,0,10860,4520,4520,0,55110,0
2715,2022,7,2,20,0,0,0,0,24240,4520,10860,4520,4520,6450,55110,4
2716,2022,8,1,19,0,0,7900,0,7900,4520,10860,4520,4520,6450,46670,4
2717,2020,6,1,26,0,0,0,6340,0,9000,10860,9000,9000,10860,55060,4
2718,2022,8,2,17,0,6130,6130,0,16340,4520,6450,4520,4520,6450,55060,0
2719,2021,11,9,14,0,0,0,0,44060,4520,0,0,0,6450,55030,1
2720,2022,7,1,23,0,0,9750,0,0,5970,7920,5970,9000,7920,46530,4
2721,2022,7,2,20,0,13440,13440,8120,0,4520,0,4520,4520,6450,55010,0
2722,2022,9,1,15,0,6130,6130,6340,16340,2850,3550,2850,2850,7920,54960,0
2723,2022,6,1,24,9000,0,0,0,0,4520,24500,5970,4520,6450,54960,4
2724,2022,11,2,16,0,7900,7900,6340,4520,5700,6450,4520,4520,7100,54950,0
2725,2022,5,1,35,0,0,0,0,0,9000,24500,9000,5970,6450,54920,4
2726,2022,9,1,17,0,7900,7900,8120,4520,4520,6450,4520,4520,6450,54900,0
2727,2022,9,1,17,0,7900,7900,8120,4520,4520,6450,4520,4520,6450,54900,0
2728,2022,9,1,17,0,7900,7900,8120,4520,4520,6450,4520,4520,6450,54900,0
2729,2022,9,1,17,0,7900,7900,8120,4520,4520,6450,4520,4520,6450,54900,0
2730,2021,8,1,19,0,7900,7900,8120,0,9000,6450,4520,4520,6450,54860,0
2731,2022,5,2,22,0,13440,13440,8120,0,0,10860,9000,0,0,54860,3
2732,2022,8,1,19,0,7900,7900,8120,0,9000,6450,4520,4520,6450,54860,0
2733,2022,8,1,19,0,7900,7900,8120,0,9000,6450,4520,4520,6450,54860,0
2734,2022,8,1,19,0,7900,7900,8120,0,4520,6450,4520,9000,6450,54860,0
2735,2022,7,1,22,0,13440,6130,0,0,4520,10860,5970,5970,7920,54810,0
2736,2022,2,1,30,0,0,0,0,32800,22000,0,0,0,0,54800,1
2737,2021,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2738,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2739,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2740,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2741,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2742,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2743,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2744,2021,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2745,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2746,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2747,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2748,2022,8,1,19,0,7900,7900,8120,0,4520,6450,4520,4520,10860,54790,0
2749,2022,8,1,19,0,7900,7900,8120,0,4520,6450,4520,4520,10860,54790,0
2750,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2751,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2752,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2753,2021,8,1,19,0,7900,7900,8120,0,4520,6450,4520,4520,10860,54790,0
2754,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2755,2021,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2756,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2757,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2758,2021,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2759,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2760,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2761,2021,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2762,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2763,2022,8,1,19,0,7900,7900,8120,0,4520,6450,4520,4520,10860,54790,0
2764,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2765,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2766,2020,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2767,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2768,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2769,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2770,2022,8,1,19,0,0,7900,8120,7900,4520,10860,4520,4520,6450,54790,0
2771,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2772,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2773,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2774,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2775,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2776,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2777,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2778,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2779,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2780,2022,8,2,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2781,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2782,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2783,2020,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2784,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2785,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2786,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2787,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2788,2022,8,1,19,0,7900,7900,8120,0,4520,10860,4520,4520,6450,54790,0
2789,2022,7,1,22,0,7900,0,10050,0,9000,10860,4520,4520,7920,54770,0
2790,2020,7,1,20,0,0,0,0,7900,4520,10860,4520,4520,6450,38770,4
2791,2022,5,1,18,0,0,0,0,32800,4520,6450,4520,0,6450,54740,4
2792,2022,5,1,18,0,0,0,0,32800,4520,6450,4520,0,6450,54740,4
2793,2022,5,1,18,0,0,0,0,32800,4520,6450,0,4520,6450,54740,4
2794,2022,5,1,18,0,0,0,0,32800,4520,6450,4520,0,6450,54740,4
2795,2022,8,1,16,0,6130,6130,6340,16340,4520,6450,5970,2850,0,54730,0
2796,2021,6,1,24,0,13440,7900,0,0,9000,10860,9000,4520,0,54720,0
2797,2022,8,1,18,0,6130,6130,0,16340,5970,10860,2850,2850,3550,54680,0
2798,2022,10,1,16,4500,7900,6130,6340,7900,2850,6450,4520,4520,3550,54660,0
2799,2021,9,1,18,4500,7900,7900,0,7900,4520,6450,4520,4520,6450,54660,0
2800,2022,2,1,80,0,26900,0,27750,0,0,0,0,0,0,54650,2
2801,2022,7,2,17,0,0,0,0,37320,7370,3550,2850,0,3550,54640,4
2802,2021,15,5,15,0,0,0,0,22600,14250,0,0,0,17750,54600,1
2803,2022,10,2,17,0,0,0,0,15800,7370,7920,2850,2850,10000,46790,4
2804,2022,8,2,20,0,0,0,0,20860,7370,10860,4520,4520,6450,54580,4
2805,2022,4,1,23,0,0,0,6340,32800,0,10860,4520,0,0,54520,3
2806,2021,5,1,18,0,7900,7900,27750,0,0,6450,4520,0,0,54520,3
2807,2022,8,1,19,0,7900,7900,6340,0,4520,10860,4520,4520,7920,54480,0
2808,2022,6,2,19,0,7900,0,8120,18600,0,10860,9000,0,0,54480,3
2809,2022,8,1,19,0,7900,7900,6340,0,4520,10860,5970,4520,6450,54460,0
2810,2022,5,1,19,0,0,0,0,32800,4520,0,4520,4520,7920,54280,4
2811,2022,5,1,24,0,0,0,0,32800,5970,0,4520,4520,6450,54260,4
2812,2022,9,4,15,0,0,0,0,37200,2850,14200,0,0,0,54250,1
2813,2022,8,2,18,0,13440,13440,8120,0,0,10000,2850,2850,3550,54250,0
2814,2022,6,1,24,9000,0,0,0,16340,9000,0,4520,4520,10860,54240,4
2815,2022,8,4,16,0,0,0,0,42800,11400,0,0,0,0,54200,1
2816,2022,8,4,17,0,0,0,0,39460,14740,0,0,0,0,54200,1
2817,2022,4,3,20,0,40320,0,13870,0,0,0,0,0,0,54190,2
2818,2022,6,1,18,0,7900,0,8120,16340,0,10860,4520,0,6450,54190,0
2819,2022,7,1,19,0,0,0,0,16340,2850,10860,2850,2850,7920,43670,4
2820,2022,8,1,18,0,9750,7900,10050,0,4520,6450,4520,4520,6450,54160,0
2821,2022,6,1,16,0,0,0,6340,32800,2850,0,2850,2850,6450,54140,4
2822,2022,9,3,20,6300,0,0,0,16940,4520,10860,4520,4520,6450,54110,4
2823,2022,9,2,19,0,0,0,0,18600,9040,0,9040,4520,12900,54100,4
2824,2022,8,1,18,0,13440,7900,8120,0,4520,7920,2850,2850,6450,54050,0
2825,2022,9,1,17,0,0,7900,8120,0,4520,6450,4520,4520,6450,42480,0
2826,2022,8,2,18,0,0,7900,0,18600,2850,17310,7370,0,0,54030,4
2827,2022,7,2,16,0,7900,7900,6340,16340,4520,0,0,4520,6450,53970,0
2828,2022,7,1,19,0,9750,9750,8120,0,0,10860,4520,4520,6450,53970,0
2829,2022,7,3,18,0,0,0,8120,28760,13520,3550,0,0,0,53950,1
2830,2022,8,4,18,0,0,0,0,34400,19530,0,0,0,0,53930,1
2831,2022,8,1,18,0,7900,9750,0,0,4520,6450,4520,4520,6450,44110,0
2832,2022,6,1,24,0,7900,0,8120,0,9000,10860,9000,9000,0,53880,0
2833,2022,7,1,20,0,13440,7900,8120,0,4520,10860,4520,4520,0,53880,0
2834,2022,10,4,15,0,6130,6130,6340,0,4520,10000,4520,4520,6450,48610,0
2835,2022,6,1,21,0,13440,7900,8120,0,0,10860,4520,9000,0,53840,0
2836,2022,2,2,60,0,53800,0,0,0,0,0,0,0,0,53800,2
2837,2022,10,2,17,0,0,0,0,21400,7370,10000,5700,2850,6450,53770,4
2838,2022,8,1,16,0,7900,7900,8120,7900,0,6450,4520,4520,6450,53760,0
2839,2022,7,1,21,0,0,7900,0,0,9000,6450,4520,4520,10860,43250,4
2840,2022,7,1,19,0,7900,7900,10050,0,9000,6450,0,4520,7920,53740,0
2841,2021,8,1,18,0,13440,6130,8120,0,2850,6450,5970,2850,7920,53730,0
2842,2022,14,4,16,0,0,0,0,21460,13070,7100,5700,2850,3550,53730,4
2843,2022,9,1,16,0,7900,7900,8120,7900,2850,6450,4520,4520,3550,53710,0
2844,2022,6,1,21,0,13440,0,13870,0,4520,10860,4520,0,6450,53660,0
2845,2022,6,1,24,0,0,0,13870,0,9000,10860,4520,4520,10860,53630,4
2846,2022,7,2,19,0,0,0,6340,16340,4520,10860,4520,4520,6450,53550,4
2847,2021,9,2,14,0,14030,14030,8120,0,0,10000,7370,0,0,53550,3
2848,2022,7,1,19,0,0,0,6340,16340,4520,10860,4520,4520,6450,53550,4
2849,2022,7,2,19,0,0,0,6340,16340,4520,10860,4520,4520,6450,53550,4
2850,2022,11,2,16,0,7900,6130,6340,4520,5700,10860,5700,2850,3550,53550,0
2851,2022,7,1,20,0,0,0,0,16340,4520,10860,4520,4520,6450,47210,4
2852,2020,9,2,17,0,7900,0,0,20860,7370,10000,7370,0,0,53500,4
2853,2022,5,1,24,0,0,0,0,0,9000,24500,9000,4520,6450,53470,4
2854,2022,5,1,29,0,0,0,0,0,9000,24500,9000,4520,6450,53470,4
2855,2022,8,1,18,4500,0,6130,0,16340,4520,6450,4520,4520,6450,53430,4
2856,2022,9,3,15,0,0,0,6340,32140,8550,0,0,2850,3550,53430,1
2857,2022,5,1,24,0,0,0,0,0,9000,24500,4520,4520,10860,53400,4
2858,2022,5,1,24,0,0,0,0,0,9000,24500,4520,4520,10860,53400,4
2859,2021,5,1,29,0,0,0,0,0,4520,24500,9000,4520,10860,53400,4
2860,2021,5,1,24,0,0,0,0,0,9000,10860,4520,4520,24500,53400,4
2861,2022,9,1,16,0,7900,6130,0,10700,5970,6450,4520,2850,3550,48070,0
2862,2022,8,1,18,0,7900,7900,8120,0,5970,6450,4520,4520,7920,53300,0
2863,2022,8,1,18,0,7900,7900,8120,0,5970,7920,4520,4520,6450,53300,0
2864,2022,6,1,24,0,0,13440,0,0,9000,10860,9000,4520,6450,53270,4
2865,2022,6,1,26,0,0,0,0,4520,9000,10860,9000,9000,10860,53240,4
2866,2022,7,1,18,0,7900,7900,0,16340,4520,0,2850,2850,10860,53220,0
2867,2022,7,2,17,0,19570,6130,13870,0,2850,0,0,2850,7920,53190,0
2868,2022,5,1,20,0,13440,13440,13870,0,0,7920,4520,0,0,53190,3
2869,2022,6,2,20,0,13440,13440,6340,0,0,6450,9000,4520,0,53190,0
2870,2022,8,1,18,0,9750,0,6340,7900,5970,7920,4520,2850,7920,53170,0
2871,2022,7,3,15,0,25700,0,18170,0,0,6450,2850,0,0,53170,3
2872,2020,6,1,22,0,0,0,0,16340,9000,10860,5970,4520,6450,53140,4
2873,2022,8,2,19,0,7900,7900,0,0,4520,17310,4520,4520,6450,53120,0
2874,2022,9,1,17,4500,7900,0,6340,7900,4520,6450,4520,4520,6450,53100,0
2875,2022,5,1,17,0,0,0,0,32800,4520,6450,0,2850,6450,53070,4
2876,2021,8,2,18,0,7900,6130,8120,0,4520,10860,4520,4520,6450,53020,0
2877,2022,4,1,22,0,26900,0,8120,0,0,0,9000,9000,0,53020,2
2878,2021,8,2,18,0,7900,7900,6340,0,4520,10860,4520,4520,6450,53010,0
2879,2022,8,1,18,0,7900,7900,6340,0,4520,10860,4520,4520,6450,53010,0
2880,2022,8,1,18,0,7900,7900,6340,0,4520,10860,4520,4520,6450,53010,0
2881,2021,5,1,22,0,13440,13440,8120,0,0,0,9000,9000,0,53000,0
2882,2022,6,2,20,0,0,0,0,27040,14970,0,4520,0,6450,52980,1
2883,2022,9,1,18,4500,7900,0,8120,4520,4520,7920,4520,4520,6450,52970,0
2884,2022,8,1,19,0,7900,7900,0,0,4520,10860,4520,4520,6450,46670,0
2885,2022,8,1,19,0,7900,7900,0,0,4520,10860,4520,4520,6450,46670,0
2886,2022,8,1,19,0,7900,7900,0,0,4520,10860,4520,4520,6450,46670,0
2887,2022,9,1,15,0,6130,6130,6340,7900,4520,6450,4520,4520,6450,52960,0
2888,2022,6,1,22,0,0,0,0,16340,9000,10860,5970,2850,7920,52940,4
2889,2022,10,2,20,0,0,0,0,0,9040,12900,9040,9040,12900,52920,4
2890,2022,10,2,17,0,0,0,0,27040,7370,0,5700,5700,7100,52910,4
2891,2022,9,1,16,0,7900,6130,6340,7900,2850,10860,4520,2850,3550,52900,0
2892,2022,5,1,17,0,0,0,0,32800,2850,7920,2850,0,6450,52870,4
2893,2022,13,6,15,0,0,0,0,30500,18770,0,0,0,3550,52820,1
2894,2022,9,2,21,0,0,0,0,0,9040,17310,9040,4520,12900,52810,4
2895,2022,5,1,23,0,0,0,0,32800,4520,0,4520,4520,6450,52810,4
2896,2022,5,1,18,0,0,0,0,32800,4520,0,4520,4520,6450,52810,4
2897,2022,5,1,18,0,0,0,0,32800,4520,0,4520,4520,6450,52810,4
2898,2022,5,1,18,0,0,0,0,32800,4520,0,4520,4520,6450,52810,4
2899,2021,5,1,18,0,0,0,0,32800,4520,0,4520,4520,6450,52810,4
2900,2022,5,1,18,0,0,0,0,32800,4520,0,4520,4520,6450,52810,4
2901,2022,5,1,23,0,0,0,0,32800,4520,0,4520,4520,6450,52810,4
2902,2022,5,1,18,0,0,0,0,32800,4520,0,4520,4520,6450,52810,4
2903,2022,12,4,15,0,0,6130,0,21460,13070,0,2850,2850,6450,52810,4
2904,2022,5,1,18,0,0,0,0,32800,4520,0,4520,4520,6450,52810,4
2905,2022,5,1,18,0,0,0,0,32800,4520,0,4520,4520,6450,52810,4
2906,2022,5,1,18,0,0,0,0,32800,4520,0,4520,4520,6450,52810,4
2907,2021,5,1,18,0,0,0,0,32800,4520,0,4520,4520,6450,52810,4
2908,2022,5,1,18,0,0,0,0,32800,4520,0,4520,4520,6450,52810,4
2909,2022,5,1,18,0,0,0,0,32800,4520,0,4520,4520,6450,52810,4
2910,2020,5,1,18,0,0,0,0,32800,4520,0,4520,4520,6450,52810,4
2911,2022,5,1,18,0,0,0,0,32800,4520,0,4520,4520,6450,52810,4
2912,2022,5,1,18,0,0,0,0,32800,4520,0,4520,4520,6450,52810,4
2913,2021,5,1,23,0,0,0,0,32800,4520,0,4520,4520,6450,52810,4
2914,2022,5,1,18,0,0,0,0,32800,4520,0,4520,4520,6450,52810,4
2915,2022,5,1,18,0,0,0,0,32800,4520,0,4520,4520,6450,52810,4
2916,2022,5,1,33,0,0,0,0,32800,4520,0,4520,4520,6450,52810,4
2917,2022,5,1,28,0,0,0,0,32800,4520,0,4520,4520,6450,52810,4
2918,2022,4,1,19,0,0,0,0,32800,9000,0,4520,0,6450,52770,1
2919,2022,7,1,21,0,7900,0,8120,0,5970,10860,4520,4520,10860,52750,0
2920,2022,8,1,18,0,6130,7900,6340,0,4520,10860,4520,5970,6450,52690,0
2921,2022,7,2,19,0,6130,7900,6340,0,4520,10860,9000,0,7920,52670,0
2922,2022,3,1,20,0,0,0,0,32800,9000,0,0,0,10860,52660,1
2923,2022,3,1,20,0,0,0,0,32800,9000,0,0,0,10860,52660,1
2924,2022,3,1,20,0,0,0,0,32800,9000,0,0,0,10860,52660,1
2925,2022,3,1,20,0,0,0,0,32800,9000,0,0,0,10860,52660,1
2926,2022,6,1,20,0,0,0,8120,0,4520,24500,4520,4520,6450,52630,4
2927,2021,6,1,20,0,0,0,8120,0,4520,24500,4520,4520,6450,52630,4
2928,2022,6,1,20,0,0,0,8120,0,4520,24500,4520,4520,6450,52630,4
2929,2022,8,2,20,4500,0,0,0,15800,5970,10860,4520,4520,6450,52620,4
2930,2022,14,2,14,0,0,12260,0,9040,5700,7100,5700,5700,7100,52600,4
2931,2022,8,2,17,0,0,0,0,24240,7370,10000,4520,0,6450,52580,4
2932,2022,8,2,16,0,0,0,8120,24240,4520,3550,2850,2850,6450,52580,4
2933,2022,8,1,17,0,7900,7900,0,10700,5970,7920,2850,2850,6450,52540,0
2934,2022,7,1,21,0,7900,7900,0,0,5970,10860,4520,4520,10860,52530,0
2935,2022,6,2,18,0,0,0,0,24240,4520,17310,0,0,6450,52520,4
2936,2022,5,3,19,6300,0,0,0,37200,9000,0,0,0,0,52500,1
2937,2022,7,1,17,0,7900,0,0,16340,4520,6450,0,4520,6450,46180,4
2938,2022,7,1,20,0,13440,0,8120,0,4520,10860,4520,4520,6450,52430,0
2939,2022,6,2,20,0,7900,0,0,0,4520,24500,4520,4520,6450,52410,4
2940,2022,6,1,20,0,0,0,0,7900,4520,24500,4520,4520,6450,52410,4
2941,2022,6,1,20,0,0,0,0,7900,4520,24500,4520,4520,6450,52410,4
2942,2022,6,1,20,0,0,0,0,7900,4520,24500,4520,4520,6450,52410,4
2943,2022,7,1,22,0,0,0,6340,0,4520,10860,9000,4520,10860,46100,4
2944,2022,5,2,17,0,33030,0,10050,0,0,6450,2850,0,0,52380,3
2945,2022,5,1,21,0,0,0,0,7900,4520,24500,9000,0,6450,52370,4
2946,2021,5,1,21,0,0,0,0,7900,4520,24500,9000,0,6450,52370,4
2947,2022,7,1,17,0,7900,0,8120,16340,4520,0,4520,4520,6450,52370,0
2948,2022,6,1,24,0,0,0,8120,0,9000,10860,9000,4520,10860,52360,4
2949,2022,9,1,15,0,13440,6130,6340,7900,2850,6450,2850,2850,3550,52360,0
2950,2022,9,1,16,0,6130,6130,6340,4520,4520,10860,4520,2850,6450,52320,0
2951,2022,8,1,17,0,7900,7900,10050,0,4520,6450,4520,4520,6450,52310,0
2952,2022,8,1,17,0,7900,7900,10050,0,4520,6450,4520,4520,6450,52310,0
2953,2022,7,1,18,0,7900,6130,0,0,2850,24500,4520,2850,3550,52300,0
2954,2022,8,1,18,0,6130,6130,6340,0,2850,10860,9000,4520,6450,52280,0
2955,2022,8,4,19,9000,0,0,0,24260,9000,3550,0,0,6450,52260,1
2956,2022,8,1,17,0,9750,7900,8120,0,4520,6450,4520,4520,6450,52230,0
2957,2022,7,1,20,0,13440,7900,0,0,4520,6450,4520,4520,10860,52210,0
2958,2022,7,1,20,0,13440,7900,0,0,4520,10860,4520,4520,6450,52210,0
2959,2022,7,1,20,0,13440,7900,0,0,4520,6450,4520,4520,10860,52210,0
2960,2022,6,3,17,0,34780,0,8120,0,0,6450,2850,0,0,52200,3
2961,2022,8,2,16,0,6130,0,6340,16340,4520,3550,4520,2850,7920,52170,0
2962,2022,7,1,17,0,7900,7900,0,16340,4520,0,4520,4520,6450,52150,0
2963,2022,7,1,17,0,7900,7900,0,16340,4520,0,4520,4520,6450,52150,0
2964,2022,7,1,17,0,7900,7900,0,16340,4520,0,4520,4520,6450,52150,0
2965,2022,7,1,17,0,7900,7900,0,16340,4520,0,4520,4520,6450,52150,0
2966,2022,7,1,17,0,7900,7900,0,16340,4520,0,4520,4520,6450,52150,0
2967,2022,8,2,17,0,0,0,0,32680,7370,0,5700,2850,3550,52150,4
2968,2022,8,1,20,9000,6130,0,6340,0,5970,10860,2850,4520,6450,52120,0
2969,2022,9,1,16,0,6130,6130,6340,4520,2850,10860,4520,2850,7920,52120,0
2970,2022,9,2,18,0,0,0,0,16340,7370,10000,7370,4520,6450,52050,4
2971,2022,8,2,15,0,0,0,6340,27040,5700,0,0,2850,10000,51930,1
2972,2022,8,1,18,0,7900,7900,0,0,4520,10860,4520,4520,6450,46670,0
2973,2022,8,2,17,0,9750,7900,6340,0,4520,7920,4520,4520,6450,51920,0
